,,,Process,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,,
,,,Plant,HM | TN,HM | TN,HM | TN,HM | TN,HM | TN,HM | TN,HM | TN,HM | TN,HM | TN,HM | TN,HM | TN,HM | TN,HM | TN,HM | TN,HM | TN,HM | TN,HM | TN,HM | TN,HM | TN,HM | TN,HM | TN,HM | TN,HM | TN,HM | TN,HM | TN,HM | TN,HM | TN,HM | TN,HM | TN,HM | TN,HM | TN,HM | TN,HM | TN,HM | TN,HM | TN,HM | TN,HM | TN,HM | TN,HM | TN,HM | TN,HM | TN,HM | TN,HM | TN,HM | TN,HM | TN,HM | TN,HM | TN,HM | TN,HM | TN,HM | TN,HM | TN,HM | TN,HM | TN,HM | TN,HM | TN,HM | TN,HM | TN,HM | TN,HM | TN,HM | TN,HM | TN,HM | TN,,HM | TN,HM | TN,HM | TN,HM | TN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Workers,"0,5 Worker TN Cutting Area","0,5 Worker TN Cutting Area","0,5 Worker TN Cutting Area","0,5 Worker TN Cutting Area","0,5 Worker TN Cutting Area","0,5 Worker TN Cutting Area","0,5 Worker TN Cutting Area","0,5 Worker TN Cutting Area","0,5 Worker TN Cutting Area",Basic Worker TN,Basic Worker TN,Basic Worker TN,Basic Worker TN,Basic Worker TN,Basic Worker TN,Basic Worker TN,Basic Worker TN,Basic Worker TN,Basic Worker TN,Basic Worker TN,Basic Worker TN,Basic Worker TN,Basic Worker TN,Basic Worker TN,Basic Worker TN,Basic Worker TN,Basic Worker TN,Basic Worker TN,Basic Worker TN,Basic Worker TN,Basic Worker TN,Basic Worker TN,Basic Worker TN,Basic Worker TN,Basic Worker TN,Basic Worker TN,Basic Worker TN,Basic Worker TN,Basic Worker TN,Basic Worker TN,Basic Worker TN,Basic Worker TN,Basic Worker TN,Basic Worker TN,Basic Worker TN,Basic Worker TN,Basic Worker TN,Basic Worker TN,Basic Worker TN,Basic Worker TN,Basic Worker TN,Basic Worker TN,Basic Worker TN,Basic Worker TN,Basic Worker TN,Basic Worker TN,Basic Worker TN,Basic Worker TN,Basic Worker TN,Basic Worker TN,Basic Worker TN,Basic Worker TN,,Basic Worker TN,Basic Worker TN,Basic Worker TN,Basic Worker TN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Machines,Sigma 688 / Alpha 488,Alpha 550 / Alpha 433,Kappa 350 / Kappa 330,Kappa 350 / Kappa 330,Kappa 350 / Kappa 330,Kappa 350 / Kappa 330,Kappa 350 / Kappa 330,Kappa 350 / Kappa 330,Kappa 350 / Kappa 330,Wire Cut & Separating Station,Wire Cut & Separating Station,Wire Cut & Separating Station,Wire Cut & Separating Station,Wire Cut & Separating Station,PUR-Tube Assembly Station,PUR-Tube Assembly Station,PUR-Tube Assembly Station,PUR-Tube Assembly Station,PUR-Tube Assembly Station,PUR-Tube Assembly Station,PUR-Tube Assembly Station,PUR-Tube Assembly Station,PUR-Tube Assembly Station,PUR-Tube Assembly Station,PUR-Tube Assembly Station,PUR-Tube Assembly Station,PUR-Tube Assembly Station,PUR-Tube Assembly Station,PUR-Tube Assembly Station,SKM DCPC Crimp (Crimp and Ass),Connector Assembly Station,Wire Rolling & Taping Station,ARBURG 375ST Machine 1-5,ARBURG 375ST Machine 1-5,ARBURG 375ST Machine 1-5,ARBURG 375ST Machine 1-5,ARBURG 375ST Machine 1-5,ARBURG 375ST Machine 1-5,ARBURG 375ST Machine 6-10,ARBURG 375ST Machine 6-10,ARBURG 375ST Machine 6-10,ARBURG 375ST Machine 6-10,ARBURG 375ST Machine 6-10,ARBURG 375ST Machine 6-10,"ARBURG 375ST Machine 11,12,13","ARBURG 375ST Machine 11,12,13","ARBURG 375ST Machine 11,12,13","ARBURG 375ST Machine 11,12,13","ARBURG 375ST Machine 11,12,13","ARBURG 375ST Machine 11,12,13","ARBURG 375ST Machine 11,12,13","ARBURG 375ST Machine 11,12,13","ARBURG 375ST Machine 11,12,13","ARBURG 375ST Machine 11,12,13","ARBURG 375ST Machine 11,12,13","ARBURG 375ST Machine 11,12,13","ARBURG 375ST Machine 11,12,13","ARBURG 375ST Machine 11,12,13",ARBURG 375ST Machine 6-10,ARBURG 375ST Machine 6-10,SKM Seal and outer Housing Assembly DCC,SKM Seal and outer Housing Assembly DCC,,TSK T1500,TSK T1500,TSK T1500,Cutting Automation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITEM,ZB,DESCRIPTION,LU / Modul,"Cutting Stripping Crimping Twisting 
Single Wires","Cutting Stripping Crimping 
Single Wires","Cutting Stripping Jacket Cable
2-Wire","Cutting Stripping Jacket Cable
4-Wire","Cutting Stripping Jacket Cable
5-Wire","Cutting Stripping Jacket Cable
6-Wire","Cutting Stripping Jacket Cable
7-Wire","Cutting Stripping Jacket Cable
8-Wire","Cutting Stripping Jacket Cable
10-Wire","Separating & Cutting Wires 
to Length
1 of 2 Pairs","Separating & Cutting Wires 
to Length
2 of 3 Pairs","Separating & Cutting Wires 
to Length
3 of 4 Pairs","Separating & Cutting Wires 
to Length
4 of 5 Pairs","Remove Filler 
or Fließ from
Jacket Cable","Assembly 
PUR-Tube
5,0x1,35mm
6,0x1,35mm
Jacket Cable
<110mm","Assembly 
PUR-Tube
5,0x1,35mm
6,0x1,35mm
Jacket Cable
111mm-200mm","Assembly 
PUR-Tube 
3,5x1,35mm
Jacket Cable
50mm-110mm","Assembly 
PUR-Tube 
3,5x1,35mm
Jacket Cable
111mm-200mm","Assembly 
PUR-Tube 
3,5x1,35mm
Jacket Cable
201mm-500mm","Assembly 
PUR-Tube 
3,5x1,35mm
PUR-Tube
60mm-180mm","Assembly 
PUR-Tube 
3,5x1,35mm
PUR-Tube
181mm-280mm","Assembly 
PUR-Tube 
3,5x1,35mm
PUR-Tube
281mm-380mm","Assembly 
PUR-Tube 
3,5x1,35mm
Tube + Grommet
60mm-200mm","Assembly 
PUR-Tube 
3,5x1,35mm
Tube + Grommet
201mm-300mm","Assembly 
PUR-Tube 
3,5x1,35mm
Tube + Grommet
301mm-400mm","Assembly 
PUR-Tube 
3,5x1,35mm
Tube + Grommet
401mm-500mm","Assembly 
PUR-Tube 
3,5x1,35mm
Tube + Grommet
501mm-600mm","Assembly 
Tube + Grommet
3,5x1,35mm
5m Wires
60mm-200mm","Assembly 
Tube + Grommet
3,5x1,35mm
8m Wires
60mm-200mm","Crimping & Assembly
DCC Connector","Assembly
 DCC Connector
Manually
Single Wires","Rolling & Taping 
Wire Pairs","Overmolding
180° Straight
85E 973 752 B
Cod. A Black
Cod. Up
With CPA","Overmolding
180° Straight
85E 973 752 C
Cod. A Black
Cod. Down
With CPA","Overmolding
180° Straight
971 973 752
Cod. A Black
Cod. Up
No CPA","Overmolding
180° Straight
9J1 973 752 B
Cod. B White
Cod. Down
With CPA","Overmolding
180° Straight
95C 973 752 D
Cod. B White
Cod. Up
With CPA","Overmolding
180° Straight
85E 973 752 H
Cod. C Blue
Cod. Up
With CPA","Overmolding
90° Bottom
3Q0 973 752
Cod. A Black
Cod. Up
 No CPA","Overmolding
90° Bottom
3Q0 973 752 F
Cod. A Black 
Cod. Up
 No CPA","Overmolding
90° Bottom
4P0 973 752
Cod. A Black
Cod. Down
With CPA","Overmolding
90° Bottom
85E 973 752 E
Cod. B White
Cod. Up
With CPA","Overmolding
90° Bottom
85E 973 752 F
Cod. B White
Cod. Down
With CPA","Overmolding
90° Bottom
85E 973 752 G
Cod. C Blue
Cod. Up
With CPA","Overmolding
90° Right
4P0 973 752 B
Cod. A Black
Cod. Up
With CPA","Overmolding
90° Right
8B3 973 752
Cod. A Black
Cod. Down
With CPA","Overmolding
90° Right
4P0 973 752 C
Cod. C Blue
Cod. Up
With CPA","Overmolding
90° Right
JLR
Cod. B White
Cod. Up
With CPA","Overmolding
90° Left
4P0 973 752 A
Cod. A Black
Cod. Up
With CPA","Overmolding
90° Left
8B3 973 752 A
Cod. A Black 
Cod. Down
With CPA","Overmolding
90° Left
4P0 973 752 D
Cod. C Blue
Cod. Up
With CPA","Overmolding
90° Left
JLR
Cod. B White
Cod. Up
With CPA","Overmolding
60° Left
85E 973 752 A
Cod. A Black
Cod. Up
With CPA","Overmolding
60° Left
9J1 973 752
Cod. C Blue
Cod. Up
With CPA","Overmolding
60° Left
95C 93 752 C
Cod. A Black
Cod. Down
With CPA","Overmolding
60° Right
85E 973 752
Cod. B Black
Cod. Up
With CPA","Overmolding
60° Right
9J1 973 752 A
Cod. C Blue
Cod. Up
With CPA","Overmolding
60° Right
95C 973 752 B
Cod. A Black
Cod. Down
With CPA","Overmolding
30° Left
9Y4 973 752
Cod. A Black
Cod. Up
With CPA","Overmolding
30° Right
9Y4 973 752 A
Cod. A Black
Cod. Up
With CPA","Assembly Seal & Outer Housing
Round Table
Jacket Cable","Assembly Seal & Outer Housing
Round Table
Single Wires",Spalte68,"TSK Test
incl. Packing
Jacket Cables","TSK Test
incl. Packing
Single Wires","TSK Test
incl. Packing
Single Wires2",Cutting Automation,Spalte723,Spalte722,Spalte73,Spalte74,Spalte75,Spalte76,Spalte195,Spalte196,Spalte197,Spalte198,Spalte199,Spalte200,Spalte22,Spalte12,Spalte23,Spalte77,Spalte78,Spalte79,Spalte80,Spalte81,Spalte82,Spalte83,Spalte84,Spalte85,Spalte86,Spalte87,Spalte88,Spalte89,Spalte90,Spalte91,Spalte92,Spalte93,Spalte94,Spalte95,Spalte96,Spalte97,Spalte98,Spalte99,Spalte100,Spalte101,Spalte102,Spalte103,Spalte104,Spalte105,Spalte106,Spalte107,Spalte108,Spalte109,Spalte110,Spalte111,Spalte112,Spalte113,Spalte114,Spalte115,Spalte116,Spalte117,Spalte118,Spalte119,Spalte120,Spalte121,Spalte122,Spalte123,Spalte124,Spalte125,Spalte126,Spalte127,Spalte128,Spalte129,Spalte130,Spalte131,Spalte132,Spalte133,Spalte134,Spalte135,Spalte136,Spalte137,Spalte138,Spalte139,Spalte140,Spalte141,Spalte142,Spalte143,Spalte144,Spalte145,Spalte146,Spalte147,Spalte148,Spalte149,Spalte150,Spalte151,Spalte152,Spalte153,Spalte154,Spalte155,Spalte156,Spalte157,Spalte158,Spalte159,Spalte160,Spalte161,Spalte162,Spalte163,Spalte164,Spalte165,Spalte166,Spalte167,Spalte168,Spalte169,Spalte170,Spalte171,Spalte172,Spalte173,Spalte174,Spalte175,Spalte176,Spalte177,Spalte178,Spalte179,Spalte180,Spalte181,Spalte182,Spalte183,Spalte184,Spalte185,Spalte186,Spalte187,Spalte188,Spalte189,Spalte190,Spalte191,Spalte192,Spalte193,Spalte194,TOTAL(sec),SAP TIMES
1,249076,4 Wire Jacket 2xDCC Modul 9Y4252B,60° & 30°,,,,6.76,,,,,,8.12,,,,,,,,20.88,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,18.72,,20,,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.06,1.9
2,249077,4 Wire Jacket 2xDCC Modul 9Y4256B,60° & 30°,,,,6.76,,,,,,8.12,,,,,,,,20.88,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,18.72,,,,,,20,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.06,1.9
3,249313,4 Wire Jacket 2xDCC Modul 9Y4251,60° & 90°B,7.3,,,,,,,,,,,,,,,,,,,5.93,,,,,,,,,,,8.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.2,0.95
4,249314,6 Wire Jacket 2xDCC Modul 9Y4251A,60° & 90°B,7.29,,,,,,,,,,,,,,,,,,,5.93,,,,,,,,,,,8.09,,,,,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.48,0.89
5,249315,6 Wire Jacket 3xDCC Modul 9Y4252,60° & 2*90°B,7.19,,,,,,,,,,,,,,,,,,,5.93,,,,,,,,,,,8.09,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.09,0.95
6,249316,6 Wire Jacket 2xDCC Modul 9Y4255,60° & 90°B,7.26,,,,,,,,,,,,,,,,,,,,,,,12.41,,,,,,,8.09,,,,,,,,,,,,,,,,,,,,,,,18.72,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.36,1.04
